frame,time_seconds,track_id,class_id,class_name,confidence,center_x,center_y,x1,y1,x2,y2
98,4.087416666666666,3,2,car,0.41881224513053894,276.7740173339844,629.6358642578125,226.1912841796875,592.9283447265625,327.35675048828125,666.3433837890625
99,4.129124999999999,3,2,car,0.5027176737785339,269.7904968261719,633.67041015625,220.58908081054688,597.2076416015625,318.9919128417969,670.1331787109375
100,4.170833333333333,3,2,car,0.7557924389839172,263.3006896972656,636.4915771484375,211.22518920898438,596.8529052734375,315.3761901855469,676.1302490234375
101,4.212541666666667,3,2,car,0.7916475534439087,256.5157165527344,640.4105834960938,203.7635498046875,601.95068359375,309.26788330078125,678.8704833984375
101,4.212541666666667,4,2,car,0.38244548439979553,747.0501708984375,630.6964111328125,708.2080078125,614.12353515625,785.892333984375,647.269287109375
102,4.25425,3,2,car,0.8611946105957031,249.08621215820312,645.86572265625,193.816162109375,605.3521118164062,304.35626220703125,686.3793334960938
103,4.295958333333333,3,2,car,0.7927059531211853,241.2980194091797,651.2401123046875,186.32827758789062,611.1732177734375,296.26776123046875,691.3070068359375
104,4.337666666666666,3,2,car,0.782148540019989,232.98439025878906,654.6429443359375,176.076171875,612.75732421875,289.8926086425781,696.528564453125
105,4.379375,3,2,car,0.7807390093803406,224.07638549804688,656.2523193359375,165.663818359375,615.0571899414062,282.48895263671875,697.4474487304688
105,4.379375,4,2,car,0.3985458016395569,761.798583984375,630.041015625,721.9126586914062,613.36767578125,801.6845092773438,646.71435546875
106,4.421083333333333,3,2,car,0.6592147350311279,217.44708251953125,662.2327880859375,157.51544189453125,616.383056640625,277.37872314453125,708.08251953125
107,4.462791666666666,3,2,car,0.7197406888008118,207.9564666748047,665.2498168945312,146.279541015625,621.048828125,269.6333923339844,709.4508056640625
108,4.504499999999999,3,2,car,0.7117343544960022,198.98980712890625,668.54345703125,136.78372192382812,623.5343017578125,261.1958923339844,713.5526123046875
108,4.504499999999999,4,2,car,0.3672751188278198,765.7493286132812,622.6961059570312,724.4370727539062,599.5912475585938,807.0615844726562,645.8009643554688
109,4.546208333333333,3,2,car,0.7316868901252747,191.5996551513672,672.5965576171875,128.2601318359375,628.198486328125,254.93917846679688,716.99462890625
109,4.546208333333333,4,2,car,0.4301949143409729,771.9395751953125,622.7901611328125,734.8583984375,598.7362060546875,809.020751953125,646.8441162109375
110,4.587916666666667,3,2,car,0.7664465308189392,182.65435791015625,677.3167724609375,119.27267456054688,634.633544921875,246.03604125976562,720.0
110,4.587916666666667,4,2,car,0.4894365668296814,773.993408203125,621.85595703125,737.0570068359375,597.447509765625,810.9298095703125,646.264404296875
111,4.629625,3,2,car,0.5880932211875916,172.52078247070312,679.0507202148438,105.65635681152344,638.1014404296875,239.3852081298828,720.0
111,4.629625,4,2,car,0.43527674674987793,776.090087890625,623.218017578125,738.5928955078125,598.9498291015625,813.5872802734375,647.4862060546875
112,4.671333333333333,3,2,car,0.5881548523902893,162.36895370483398,682.5067749023438,93.87825775146484,645.0135498046875,230.85964965820312,720.0
113,4.713041666666666,3,2,car,0.5884138345718384,150.27154541015625,683.261474609375,78.34976196289062,646.52294921875,222.19332885742188,720.0
