split,model,scope,horizon_frames,horizon_seconds,samples,mean_error_px,rmse_px,median_error_px,p90_error_px,improvement_vs_cv_pct
member2_canonical_tracks2,full_ridge,horizon,45,1.5015,4017,69.6895,91.276,50.5256,160.8841,9.4901
member2_canonical_tracks2,full_ridge,ADE,45,1.5015,4017,22.4917,28.4752,17.0773,47.7223,9.8579
member2_canonical_tracks3,constant_velocity,horizon,5,0.2,4998,3.5755,4.899,2.5981,7.3895,0.0
member2_canonical_tracks3,constant_velocity,horizon,10,0.4,4998,7.0298,9.8653,4.9043,15.0603,0.0
member2_canonical_tracks3,constant_velocity,horizon,15,0.6,4998,11.4613,16.3867,7.6025,26.2882,0.0
member2_canonical_tracks3,constant_velocity,horizon,30,1.2,4998,30.0527,44.1407,18.4973,75.4442,0.0
member2_canonical_tracks3,constant_velocity,horizon,45,1.8,4998,55.1276,82.2124,33.0198,140.5788,0.0
member2_canonical_tracks3,constant_velocity,ADE,45,1.8,4998,21.4494,31.0789,13.417,52.3503,0.0
member2_canonical_tracks3,constant_acceleration,horizon,5,0.2,4998,4.9336,6.6704,3.7831,9.9239,-37.9829
member2_canonical_tracks3,constant_acceleration,horizon,10,0.4,4998,15.9942,21.5828,12.2743,32.3671,-127.5201
member2_canonical_tracks3,constant_acceleration,horizon,15,0.6,4998,34.7491,46.9086,26.4771,69.5874,-203.1861
member2_canonical_tracks3,constant_acceleration,horizon,30,1.2,4998,136.5619,185.2372,103.4292,273.5813,-354.4075
member2_canonical_tracks3,constant_acceleration,horizon,45,1.8,4998,307.0889,417.2834,232.3246,615.6223,-457.0513
member2_canonical_tracks3,constant_acceleration,ADE,45,1.8,4998,99.8655,135.1933,76.0024,199.9618,-365.5869
member2_canonical_tracks3,core_ridge,horizon,5,0.2,4998,3.095,4.2074,2.382,6.2107,13.4382
member2_canonical_tracks3,core_ridge,horizon,10,0.4,4998,5.0449,6.9228,3.9108,9.9006,28.2357
member2_canonical_tracks3,core_ridge,horizon,15,0.6,4998,7.0931,9.6702,5.4456,14.085,38.1125
member2_canonical_tracks3,core_ridge,horizon,30,1.2,4998,16.2521,22.7263,11.4282,34.7391,45.9214
member2_canonical_tracks3,core_ridge,horizon,45,1.8,4998,31.6789,47.5094,20.2657,73.5704,42.5353
member2_canonical_tracks3,core_ridge,ADE,45,1.8,4998,12.6328,17.4634,8.8222,26.712,41.1041
member2_canonical_tracks3,acceleration_ridge,horizon,5,0.2,4998,3.089,4.1954,2.3777,6.1101,13.6069
member2_canonical_tracks3,acceleration_ridge,horizon,10,0.4,4998,5.0254,6.8858,3.8929,9.8651,28.5127
member2_canonical_tracks3,acceleration_ridge,horizon,15,0.6,4998,7.063,9.6191,5.4252,13.986,38.3754
member2_canonical_tracks3,acceleration_ridge,horizon,30,1.2,4998,16.2468,22.7235,11.4289,34.7649,45.9389
member2_canonical_tracks3,acceleration_ridge,horizon,45,1.8,4998,31.6614,47.5072,20.2586,73.5704,42.567
member2_canonical_tracks3,acceleration_ridge,ADE,45,1.8,4998,12.6171,17.4368,8.8047,26.7292,41.1772
member2_canonical_tracks3,history_ridge,horizon,5,0.2,4998,3.3947,4.5473,2.5431,7.1608,5.0557
member2_canonical_tracks3,history_ridge,horizon,10,0.4,4998,5.2606,7.0354,4.1343,10.3808,25.1676
member2_canonical_tracks3,history_ridge,horizon,15,0.6,4998,6.872,9.3066,5.4123,13.4796,40.0419
member2_canonical_tracks3,history_ridge,horizon,30,1.2,4998,15.226,21.761,10.1912,33.6675,49.3356
member2_canonical_tracks3,history_ridge,horizon,45,1.8,4998,30.0818,45.8385,17.6571,72.588,45.4323
member2_canonical_tracks3,history_ridge,ADE,45,1.8,4998,12.167,16.7346,8.3921,26.0657,43.2756
member2_canonical_tracks3,full_ridge,horizon,5,0.2,4998,3.3917,4.5443,2.5396,7.1202,5.141
member2_canonical_tracks3,full_ridge,horizon,10,0.4,4998,5.256,7.0308,4.1206,10.4015,25.233
member2_canonical_tracks3,full_ridge,horizon,15,0.6,4998,6.8652,9.3014,5.4091,13.4765,40.1009
member2_canonical_tracks3,full_ridge,horizon,30,1.2,4998,15.2283,21.7664,10.1964,33.6743,49.3279
member2_canonical_tracks3,full_ridge,horizon,45,1.8,4998,30.0884,45.8384,17.7031,72.564,45.4204
member2_canonical_tracks3,full_ridge,ADE,45,1.8,4998,12.1659,16.7334,8.3846,26.0814,43.2808
member2_canonical_tracks4,constant_velocity,horizon,5,0.1667,19141,3.4754,5.1731,2.6508,6.8612,0.0
member2_canonical_tracks4,constant_velocity,horizon,10,0.3333,19141,6.7468,9.5719,5.0461,14.0073,0.0
member2_canonical_tracks4,constant_velocity,horizon,15,0.5,19141,11.3412,16.0777,7.8892,25.533,0.0
member2_canonical_tracks4,constant_velocity,horizon,30,1.0,19141,36.2076,57.3169,19.7449,94.8977,0.0
member2_canonical_tracks4,constant_velocity,horizon,45,1.5,19141,84.3678,144.8895,36.8084,239.4327,0.0
member2_canonical_tracks4,constant_velocity,ADE,45,1.5,19141,28.4278,45.1415,15.0755,76.0767,0.0
member2_canonical_tracks4,constant_acceleration,horizon,5,0.1667,19141,5.2978,8.1732,3.9612,10.094,-52.4337
member2_canonical_tracks4,constant_acceleration,horizon,10,0.3333,19141,17.0054,26.0706,12.5507,32.5274,-152.0506
member2_canonical_tracks4,constant_acceleration,horizon,15,0.5,19141,36.9428,56.4827,27.1778,71.447,-225.7408
member2_canonical_tracks4,constant_acceleration,horizon,30,1.0,19141,145.7093,221.4305,107.7915,279.9011,-302.4276
member2_canonical_tracks4,constant_acceleration,horizon,45,1.5,19141,331.2203,499.9481,245.7488,640.2075,-292.5908
member2_canonical_tracks4,constant_acceleration,ADE,45,1.5,19141,107.2351,162.0079,79.5618,205.7988,-277.2196
member2_canonical_tracks4,core_ridge,horizon,5,0.1667,19141,3.4503,5.2023,2.6398,6.6499,0.7231
member2_canonical_tracks4,core_ridge,horizon,10,0.3333,19141,6.291,9.2642,4.7775,12.3917,6.7562
member2_canonical_tracks4,core_ridge,horizon,15,0.5,19141,10.1799,14.8803,7.5232,21.1108,10.2396
member2_canonical_tracks4,core_ridge,horizon,30,1.0,19141,31.1756,48.2908,19.0396,74.8668,13.8975
member2_canonical_tracks4,core_ridge,horizon,45,1.5,19141,75.2875,127.1219,36.5457,201.7758,10.7628
member2_canonical_tracks4,core_ridge,ADE,45,1.5,19141,25.2769,39.1702,14.7143,61.8367,11.0839
member2_canonical_tracks4,acceleration_ridge,horizon,5,0.1667,19141,3.4551,5.1892,2.6364,6.661,0.5841
member2_canonical_tracks4,acceleration_ridge,horizon,10,0.3333,19141,6.3042,9.2225,4.7946,12.4578,6.5606
member2_canonical_tracks4,acceleration_ridge,horizon,15,0.5,19141,10.1919,14.7859,7.5142,21.1476,10.1336
member2_canonical_tracks4,acceleration_ridge,horizon,30,1.0,19141,31.1844,48.3089,19.0466,74.865,13.8733
member2_canonical_tracks4,acceleration_ridge,horizon,45,1.5,19141,75.2954,127.1313,36.5312,201.7758,10.7534
member2_canonical_tracks4,acceleration_ridge,ADE,45,1.5,19141,25.2862,39.1665,14.7207,61.8751,11.051
member2_canonical_tracks4,history_ridge,horizon,5,0.1667,19141,3.4707,5.2165,2.6201,6.749,0.1378
member2_canonical_tracks4,history_ridge,horizon,10,0.3333,19141,6.3173,9.2219,4.7788,12.5493,6.3663
member2_canonical_tracks4,history_ridge,horizon,15,0.5,19141,9.9835,14.3745,7.4114,20.3592,11.9709
member2_canonical_tracks4,history_ridge,horizon,30,1.0,19141,30.7202,47.7979,18.7779,73.4364,15.1553
member2_canonical_tracks4,history_ridge,horizon,45,1.5,19141,74.8287,126.7225,35.9581,199.7637,11.3066
member2_canonical_tracks4,history_ridge,ADE,45,1.5,19141,25.0641,38.8373,14.6326,60.994,11.8324
member2_canonical_tracks4,full_ridge,horizon,5,0.1667,19141,3.4646,5.2046,2.6136,6.7345,0.3116
member2_canonical_tracks4,full_ridge,horizon,10,0.3333,19141,6.3041,9.1983,4.7657,12.4971,6.5628
member2_canonical_tracks4,full_ridge,horizon,15,0.5,19141,9.969,14.3489,7.4016,20.3356,12.0988
member2_canonical_tracks4,full_ridge,horizon,30,1.0,19141,30.711,47.7135,18.7806,73.4778,15.1809
member2_canonical_tracks4,full_ridge,horizon,45,1.5,19141,74.8245,126.7173,35.9371,199.7073,11.3115
member2_canonical_tracks4,full_ridge,ADE,45,1.5,19141,25.0546,38.8096,14.6391,60.9876,11.8656
LOVO_macro,constant_velocity,horizon,5,0.1834,29720,2.9674,4.6111,2.0804,6.0369,0.0
LOVO_macro,constant_velocity,horizon,10,0.3667,29720,5.848,8.8645,3.9854,12.4649,0.0
LOVO_macro,constant_velocity,horizon,15,0.5501,29720,9.6248,14.5101,6.1981,22.121,0.0
LOVO_macro,constant_velocity,horizon,30,1.1002,29720,28.3639,44.877,16.4518,75.278,0.0
LOVO_macro,constant_velocity,horizon,45,1.6504,29720,62.5782,102.3783,32.8601,175.4197,0.0
LOVO_macro,constant_velocity,ADE,45,1.6504,29720,21.8765,34.1391,12.5898,58.3386,0.0
LOVO_macro,constant_acceleration,horizon,5,0.1834,29720,5.4749,7.8659,4.1221,11.0047,-85.8754
LOVO_macro,constant_acceleration,horizon,10,0.3667,29720,18.5382,26.2221,13.9151,37.6947,-218.5053
LOVO_macro,constant_acceleration,horizon,15,0.5501,29720,40.1112,56.759,30.1035,81.1229,-319.5649
LOVO_macro,constant_acceleration,horizon,30,1.1002,29720,155.9365,221.3684,116.7767,316.0635,-447.6332
LOVO_macro,constant_acceleration,horizon,45,1.6504,29720,352.4463,499.8363,262.1136,716.242,-461.1019
LOVO_macro,constant_acceleration,ADE,45,1.6504,29720,114.5014,162.0851,85.5883,232.1872,-417.797
LOVO_macro,core_ridge,horizon,5,0.1834,29720,2.8579,4.4436,2.0485,5.7285,2.6805
LOVO_macro,core_ridge,horizon,10,0.3667,29720,5.1432,7.7972,3.7023,10.4454,10.9281
LOVO_macro,core_ridge,horizon,15,0.5501,29720,7.8752,11.732,5.5598,16.1736,17.2258
LOVO_macro,core_ridge,horizon,30,1.1002,29720,22.1284,34.3051,13.7185,53.6631,21.6315
LOVO_macro,core_ridge,horizon,45,1.6504,29720,51.781,84.5208,28.101,140.9878,18.3415
LOVO_macro,core_ridge,ADE,45,1.6504,29720,17.9571,27.4293,10.9624,44.4653,18.2162
LOVO_macro,acceleration_ridge,horizon,5,0.1834,29720,2.8508,4.427,2.0395,5.6827,2.967
LOVO_macro,acceleration_ridge,horizon,10,0.3667,29720,5.1349,7.7707,3.6953,10.4203,11.071
LOVO_macro,acceleration_ridge,horizon,15,0.5501,29720,7.8733,11.7077,5.5477,16.1818,17.2097
LOVO_macro,acceleration_ridge,horizon,30,1.1002,29720,22.1319,34.3084,13.7249,53.6372,21.63
LOVO_macro,acceleration_ridge,horizon,45,1.6504,29720,51.7774,84.5155,28.1093,141.0037,18.3589
LOVO_macro,acceleration_ridge,ADE,45,1.6504,29720,17.9536,27.4235,10.9495,44.4761,18.24
LOVO_macro,history_ridge,horizon,5,0.1834,29720,3.0615,4.8446,2.073,6.5162,-6.1085
LOVO_macro,history_ridge,horizon,10,0.3667,29720,5.5937,8.8487,3.7219,12.5502,-0.2947
