split,model,category,scope,horizon_frames,samples,mean_error_px,median_error_px,p90_error_px,improvement_vs_cv_pct
member2_canonical_tracks2,constant_velocity,stable,horizon,15,2906,15.1981,10.0428,36.1391,0.0
member2_canonical_tracks2,constant_velocity,stable,horizon,30,2906,59.8865,43.9354,134.0909,0.0
member2_canonical_tracks2,constant_velocity,stable,ADE,30,2906,21.6211,15.9246,46.931,0.0
member2_canonical_tracks2,constant_velocity,turning,horizon,5,1687,3.1461,2.4936,5.8508,0.0
member2_canonical_tracks2,constant_velocity,turning,horizon,10,1687,6.0282,4.605,11.201,0.0
member2_canonical_tracks2,constant_velocity,turning,horizon,15,1687,9.3076,6.8676,17.6119,0.0
member2_canonical_tracks2,constant_velocity,turning,horizon,30,1687,26.0319,18.9602,52.7119,0.0
member2_canonical_tracks2,constant_velocity,turning,ADE,30,1687,11.1284,8.3565,21.2118,0.0
member2_canonical_tracks2,constant_velocity,speed_change,horizon,5,807,3.2832,2.5899,6.4109,0.0
member2_canonical_tracks2,constant_velocity,speed_change,horizon,10,807,7.2567,5.6602,15.1414,0.0
member2_canonical_tracks2,constant_velocity,speed_change,horizon,15,807,12.3124,9.2074,26.7708,0.0
member2_canonical_tracks2,constant_velocity,speed_change,horizon,30,807,43.2827,28.3043,104.1299,0.0
member2_canonical_tracks2,constant_velocity,speed_change,ADE,30,807,16.5337,11.4297,36.6907,0.0
member2_canonical_tracks2,constant_velocity,dynamic,horizon,5,2494,3.1904,2.5148,5.9729,0.0
member2_canonical_tracks2,constant_velocity,dynamic,horizon,10,2494,6.4257,4.9006,12.5708,0.0
member2_canonical_tracks2,constant_velocity,dynamic,horizon,15,2494,10.2799,7.5144,20.6572,0.0
member2_canonical_tracks2,constant_velocity,dynamic,horizon,30,2494,31.6138,20.7929,76.0934,0.0
member2_canonical_tracks2,constant_velocity,dynamic,ADE,30,2494,12.8775,9.0329,27.7853,0.0
member2_canonical_tracks2,local_history_ungated,all,horizon,5,5400,3.0864,2.3104,6.0625,6.2555
member2_canonical_tracks2,local_history_ungated,all,horizon,10,5400,6.5916,4.4881,14.1121,9.4992
member2_canonical_tracks2,local_history_ungated,all,horizon,15,5400,11.146,7.1675,24.6027,13.7751
member2_canonical_tracks2,local_history_ungated,all,horizon,30,5400,39.8211,24.5831,99.1433,14.9644
member2_canonical_tracks2,local_history_ungated,all,ADE,30,5400,15.1613,10.0361,34.1557,13.7722
member2_canonical_tracks2,local_history_ungated,stable,horizon,5,2906,3.145,2.2569,6.4588,6.9516
member2_canonical_tracks2,local_history_ungated,stable,horizon,10,2906,7.0612,4.5799,15.6749,11.9518
member2_canonical_tracks2,local_history_ungated,stable,horizon,15,2906,12.6498,7.8349,29.7095,16.7673
member2_canonical_tracks2,local_history_ungated,stable,horizon,30,2906,50.2132,35.0874,115.9075,16.1527
member2_canonical_tracks2,local_history_ungated,stable,ADE,30,2906,18.2673,13.2115,40.2721,15.5116
member2_canonical_tracks2,local_history_ungated,turning,horizon,5,1687,2.8858,2.2599,5.2734,8.2715
member2_canonical_tracks2,local_history_ungated,turning,horizon,10,1687,5.5111,4.1563,10.5458,8.5788
member2_canonical_tracks2,local_history_ungated,turning,horizon,15,1687,8.3089,6.0298,15.9813,10.7301
member2_canonical_tracks2,local_history_ungated,turning,horizon,30,1687,22.5274,15.6168,46.1546,13.462
member2_canonical_tracks2,local_history_ungated,turning,ADE,30,1687,9.8083,7.1579,19.1447,11.8626
member2_canonical_tracks2,local_history_ungated,speed_change,horizon,5,807,3.2951,2.5934,6.4778,-0.3637
member2_canonical_tracks2,local_history_ungated,speed_change,horizon,10,807,7.1596,5.3029,15.1108,1.3376
member2_canonical_tracks2,local_history_ungated,speed_change,horizon,15,807,11.6614,8.422,25.7277,5.2872
member2_canonical_tracks2,local_history_ungated,speed_change,horizon,30,807,38.5507,24.7564,93.3352,10.9326
member2_canonical_tracks2,local_history_ungated,speed_change,ADE,30,807,15.1667,10.6052,34.436,8.268
member2_canonical_tracks2,local_history_ungated,dynamic,horizon,5,2494,3.0183,2.3558,5.7127,5.3961
member2_canonical_tracks2,local_history_ungated,dynamic,horizon,10,2494,6.0445,4.4184,12.1178,5.9327
member2_canonical_tracks2,local_history_ungated,dynamic,horizon,15,2494,9.3937,6.5897,19.2094,8.6207
member2_canonical_tracks2,local_history_ungated,dynamic,horizon,30,2494,27.7122,17.4864,67.7315,12.3415
member2_canonical_tracks2,local_history_ungated,dynamic,ADE,30,2494,11.5422,7.729,25.2804,10.3692
member2_canonical_tracks2,local_history_gated,all,horizon,5,5400,3.2129,2.3191,6.5358,2.415
member2_canonical_tracks2,local_history_gated,all,horizon,10,5400,7.1074,4.7641,15.3438,2.4173
member2_canonical_tracks2,local_history_gated,all,horizon,15,5400,12.5174,8.0215,28.3604,3.1663
member2_canonical_tracks2,local_history_gated,all,horizon,30,5400,45.0267,27.7614,114.5059,3.848
member2_canonical_tracks2,local_history_gated,all,ADE,30,5400,16.9661,11.0668,39.0747,3.5075
member2_canonical_tracks2,local_history_gated,stable,horizon,5,2906,3.3799,2.2952,7.3214,0.0
member2_canonical_tracks2,local_history_gated,stable,horizon,10,2906,8.0197,5.1393,18.2676,0.0
member2_canonical_tracks2,local_history_gated,stable,horizon,15,2906,15.1981,10.0428,36.1391,0.0
member2_canonical_tracks2,local_history_gated,stable,horizon,30,2906,59.8865,43.9354,134.0909,0.0
member2_canonical_tracks2,local_history_gated,stable,ADE,30,2906,21.6211,15.9246,46.931,0.0
member2_canonical_tracks2,local_history_gated,turning,horizon,5,1687,2.8858,2.2599,5.2734,8.2715
member2_canonical_tracks2,local_history_gated,turning,horizon,10,1687,5.5111,4.1563,10.5458,8.5788
member2_canonical_tracks2,local_history_gated,turning,horizon,15,1687,8.3089,6.0298,15.9813,10.7301
member2_canonical_tracks2,local_history_gated,turning,horizon,30,1687,22.5274,15.6168,46.1546,13.462
member2_canonical_tracks2,local_history_gated,turning,ADE,30,1687,9.8083,7.1579,19.1447,11.8626
member2_canonical_tracks2,local_history_gated,speed_change,horizon,5,807,3.2951,2.5934,6.4778,-0.3637
member2_canonical_tracks2,local_history_gated,speed_change,horizon,10,807,7.1596,5.3029,15.1108,1.3376
member2_canonical_tracks2,local_history_gated,speed_change,horizon,15,807,11.6614,8.422,25.7277,5.2872
member2_canonical_tracks2,local_history_gated,speed_change,horizon,30,807,38.5507,24.7564,93.3352,10.9326
member2_canonical_tracks2,local_history_gated,speed_change,ADE,30,807,15.1667,10.6052,34.436,8.268
member2_canonical_tracks2,local_history_gated,dynamic,horizon,5,2494,3.0183,2.3558,5.7127,5.3961
member2_canonical_tracks2,local_history_gated,dynamic,horizon,10,2494,6.0445,4.4184,12.1178,5.9327
member2_canonical_tracks2,local_history_gated,dynamic,horizon,15,2494,9.3937,6.5897,19.2094,8.6207
member2_canonical_tracks2,local_history_gated,dynamic,horizon,30,2494,27.7122,17.4864,67.7315,12.3415
member2_canonical_tracks2,local_history_gated,dynamic,ADE,30,2494,11.5422,7.729,25.2804,10.3692
member2_canonical_tracks3,constant_velocity,all,horizon,5,5554,3.55,2.5878,7.3505,0.0
member2_canonical_tracks3,constant_velocity,all,horizon,10,5554,6.9859,4.8695,14.9975,0.0
member2_canonical_tracks3,constant_velocity,all,horizon,15,5554,11.4137,7.5002,26.3539,0.0
